{'use_physical': True, 'iter_num': 20000, 'train_batch_size': 16, 'last_iter': 0, 'lr': 0.0002, 'lr_decay': 0.9, 'weight_decay': 2e-05, 'momentum': 0.9, 'snapshot': '', 'val_freq': 1000, 'crop_size': 512}

[iter 1], [train loss 0.90704], [loss_x_fusion 0.15496], [loss_x_j1 0.24923], [loss_x_j2 0.13202], [loss_x_j3 0.13112], [loss_x_j4 0.23971], [lr 0.0002000000000]
[iter 42], [train loss 0.49809], [loss_x_fusion 0.09310], [loss_x_j1 0.10006], [loss_x_j2 0.10292], [loss_x_j3 0.10041], [loss_x_j4 0.10160], [lr 0.0001996309621]
[iter 43], [train loss 0.49513], [loss_x_fusion 0.09253], [loss_x_j1 0.09942], [loss_x_j2 0.10250], [loss_x_j3 0.09976], [loss_x_j4 0.10092], [lr 0.0001996219603]
[iter 44], [train loss 0.49213], [loss_x_fusion 0.09202], [loss_x_j1 0.09890], [loss_x_j2 0.10174], [loss_x_j3 0.09912], [loss_x_j4 0.10035], [lr 0.0001996129584]
[iter 45], [train loss 0.49113], [loss_x_fusion 0.09183], [loss_x_j1 0.09859], [loss_x_j2 0.10171], [loss_x_j3 0.09898], [loss_x_j4 0.10002], [lr 0.0001996039564]
[iter 46], [train loss 0.48858], [loss_x_fusion 0.09138], [loss_x_j1 0.09803], [loss_x_j2 0.10120], [loss_x_j3 0.09852], [loss_x_j4 0.09945], [lr 0.0001995949544]
[iter 47], [train loss 0.48694], [loss_x_fusion 0.09108], [loss_x_j1 0.09769], [loss_x_j2 0.10086], [loss_x_j3 0.09814], [loss_x_j4 0.09917], [lr 0.0001995859523]
[iter 48], [train loss 0.48467], [loss_x_fusion 0.09069], [loss_x_j1 0.09718], [loss_x_j2 0.10041], [loss_x_j3 0.09769], [loss_x_j4 0.09869], [lr 0.0001995769503]
[iter 49], [train loss 0.48194], [loss_x_fusion 0.09020], [loss_x_j1 0.09647], [loss_x_j2 0.09992], [loss_x_j3 0.09723], [loss_x_j4 0.09811], [lr 0.0001995679481]
[iter 50], [train loss 0.48146], [loss_x_fusion 0.09016], [loss_x_j1 0.09646], [loss_x_j2 0.09982], [loss_x_j3 0.09702], [loss_x_j4 0.09801], [lr 0.0001995589459]
[iter 51], [train loss 0.48068], [loss_x_fusion 0.09006], [loss_x_j1 0.09638], [loss_x_j2 0.09965], [loss_x_j3 0.09671], [loss_x_j4 0.09788], [lr 0.0001995499437]
[iter 52], [train loss 0.47975], [loss_x_fusion 0.08991], [loss_x_j1 0.09608], [loss_x_j2 0.09963], [loss_x_j3 0.09659], [loss_x_j4 0.09754], [lr 0.0001995409414]
[iter 53], [train loss 0.47833], [loss_x_fusion 0.08964], [loss_x_j1 0.09577], [loss_x_j2 0.09952], [loss_x_j3 0.09619], [loss_x_j4 0.09721], [lr 0.0001995319391]
[iter 54], [train loss 0.48131], [loss_x_fusion 0.09023], [loss_x_j1 0.09617], [loss_x_j2 0.10062], [loss_x_j3 0.09690], [loss_x_j4 0.09738], [lr 0.0001995229367]
[iter 55], [train loss 0.48069], [loss_x_fusion 0.09015], [loss_x_j1 0.09608], [loss_x_j2 0.10042], [loss_x_j3 0.09673], [loss_x_j4 0.09731], [lr 0.0001995139343]
[iter 56], [train loss 0.47953], [loss_x_fusion 0.08988], [loss_x_j1 0.09563], [loss_x_j2 0.10065], [loss_x_j3 0.09659], [loss_x_j4 0.09677], [lr 0.0001995049319]
[iter 57], [train loss 0.47742], [loss_x_fusion 0.08951], [loss_x_j1 0.09530], [loss_x_j2 0.10007], [loss_x_j3 0.09609], [loss_x_j4 0.09645], [lr 0.0001994959294]
[iter 58], [train loss 0.47522], [loss_x_fusion 0.08908], [loss_x_j1 0.09481], [loss_x_j2 0.09976], [loss_x_j3 0.09564], [loss_x_j4 0.09593], [lr 0.0001994869268]
[iter 59], [train loss 0.47351], [loss_x_fusion 0.08880], [loss_x_j1 0.09449], [loss_x_j2 0.09936], [loss_x_j3 0.09528], [loss_x_j4 0.09559], [lr 0.0001994779242]
[iter 60], [train loss 0.47269], [loss_x_fusion 0.08870], [loss_x_j1 0.09442], [loss_x_j2 0.09908], [loss_x_j3 0.09508], [loss_x_j4 0.09541], [lr 0.0001994689216]
[iter 61], [train loss 0.47132], [loss_x_fusion 0.08849], [loss_x_j1 0.09421], [loss_x_j2 0.09870], [loss_x_j3 0.09477], [loss_x_j4 0.09516], [lr 0.0001994599189]
[iter 62], [train loss 0.46957], [loss_x_fusion 0.08817], [loss_x_j1 0.09386], [loss_x_j2 0.09835], [loss_x_j3 0.09442], [loss_x_j4 0.09478], [lr 0.0001994509162]
[iter 63], [train loss 0.46732], [loss_x_fusion 0.08776], [loss_x_j1 0.09345], [loss_x_j2 0.09788], [loss_x_j3 0.09396], [loss_x_j4 0.09427], [lr 0.0001994419134]
[iter 64], [train loss 0.46617], [loss_x_fusion 0.08758], [loss_x_j1 0.09320], [loss_x_j2 0.09769], [loss_x_j3 0.09372], [loss_x_j4 0.09398], [lr 0.0001994329106]
[iter 65], [train loss 0.46430], [loss_x_fusion 0.08724], [loss_x_j1 0.09290], [loss_x_j2 0.09725], [loss_x_j3 0.09329], [loss_x_j4 0.09362], [lr 0.0001994239077]
[iter 66], [train loss 0.46368], [loss_x_fusion 0.08710], [loss_x_j1 0.09261], [loss_x_j2 0.09745], [loss_x_j3 0.09321], [loss_x_j4 0.09331], [lr 0.0001994149048]
[iter 67], [train loss 0.46213], [loss_x_fusion 0.08679], [loss_x_j1 0.09225], [loss_x_j2 0.09720], [loss_x_j3 0.09290], [loss_x_j4 0.09298], [lr 0.0001994059019]
[iter 68], [train loss 0.46155], [loss_x_fusion 0.08670], [loss_x_j1 0.09223], [loss_x_j2 0.09698], [loss_x_j3 0.09271], [loss_x_j4 0.09293], [lr 0.0001993968989]
[iter 69], [train loss 0.46134], [loss_x_fusion 0.08667], [loss_x_j1 0.09213], [loss_x_j2 0.09708], [loss_x_j3 0.09267], [loss_x_j4 0.09279], [lr 0.0001993878958]
[iter 70], [train loss 0.46063], [loss_x_fusion 0.08655], [loss_x_j1 0.09198], [loss_x_j2 0.09691], [loss_x_j3 0.09257], [loss_x_j4 0.09262], [lr 0.0001993788927]
[iter 71], [train loss 0.45893], [loss_x_fusion 0.08622], [loss_x_j1 0.09169], [loss_x_j2 0.09653], [loss_x_j3 0.09218], [loss_x_j4 0.09231], [lr 0.0001993698896]
[iter 72], [train loss 0.45764], [loss_x_fusion 0.08600], [loss_x_j1 0.09152], [loss_x_j2 0.09612], [loss_x_j3 0.09183], [loss_x_j4 0.09217], [lr 0.0001993608864]
[iter 73], [train loss 0.45623], [loss_x_fusion 0.08572], [loss_x_j1 0.09131], [loss_x_j2 0.09572], [loss_x_j3 0.09145], [loss_x_j4 0.09203], [lr 0.0001993518832]
[iter 74], [train loss 0.45549], [loss_x_fusion 0.08557], [loss_x_j1 0.09110], [loss_x_j2 0.09563], [loss_x_j3 0.09130], [loss_x_j4 0.09188], [lr 0.0001993428799]
[iter 75], [train loss 0.45437], [loss_x_fusion 0.08538], [loss_x_j1 0.09091], [loss_x_j2 0.09532], [loss_x_j3 0.09099], [loss_x_j4 0.09177], [lr 0.0001993338766]
[iter 76], [train loss 0.45414], [loss_x_fusion 0.08538], [loss_x_j1 0.09090], [loss_x_j2 0.09522], [loss_x_j3 0.09091], [loss_x_j4 0.09174], [lr 0.0001993248733]
[iter 77], [train loss 0.45407], [loss_x_fusion 0.08534], [loss_x_j1 0.09080], [loss_x_j2 0.09532], [loss_x_j3 0.09092], [loss_x_j4 0.09169], [lr 0.0001993158699]
[iter 78], [train loss 0.45259], [loss_x_fusion 0.08505], [loss_x_j1 0.09045], [loss_x_j2 0.09508], [loss_x_j3 0.09063], [loss_x_j4 0.09138], [lr 0.0001993068664]
[iter 79], [train loss 0.45203], [loss_x_fusion 0.08497], [loss_x_j1 0.09036], [loss_x_j2 0.09489], [loss_x_j3 0.09048], [loss_x_j4 0.09134], [lr 0.0001992978629]
[iter 80], [train loss 0.45223], [loss_x_fusion 0.08501], [loss_x_j1 0.09038], [loss_x_j2 0.09495], [loss_x_j3 0.09049], [loss_x_j4 0.09141], [lr 0.0001992888594]
[iter 81], [train loss 0.45083], [loss_x_fusion 0.08475], [loss_x_j1 0.09013], [loss_x_j2 0.09462], [loss_x_j3 0.09016], [loss_x_j4 0.09116], [lr 0.0001992798558]
[iter 82], [train loss 0.45008], [loss_x_fusion 0.08459], [loss_x_j1 0.08996], [loss_x_j2 0.09456], [loss_x_j3 0.09004], [loss_x_j4 0.09093], [lr 0.0001992708522]
[iter 83], [train loss 0.44939], [loss_x_fusion 0.08449], [loss_x_j1 0.08984], [loss_x_j2 0.09430], [loss_x_j3 0.08991], [loss_x_j4 0.09085], [lr 0.0001992618485]
[iter 84], [train loss 0.44812], [loss_x_fusion 0.08427], [loss_x_j1 0.08961], [loss_x_j2 0.09391], [loss_x_j3 0.08963], [loss_x_j4 0.09069], [lr 0.0001992528448]
[iter 85], [train loss 0.44777], [loss_x_fusion 0.08424], [loss_x_j1 0.08966], [loss_x_j2 0.09368], [loss_x_j3 0.08949], [loss_x_j4 0.09071], [lr 0.0001992438410]
[iter 86], [train loss 0.44744], [loss_x_fusion 0.08419], [loss_x_j1 0.08970], [loss_x_j2 0.09346], [loss_x_j3 0.08934], [loss_x_j4 0.09075], [lr 0.0001992348372]
[iter 87], [train loss 0.44663], [loss_x_fusion 0.08405], [loss_x_j1 0.08953], [loss_x_j2 0.09326], [loss_x_j3 0.08919], [loss_x_j4 0.09060], [lr 0.0001992258333]
[iter 88], [train loss 0.44636], [loss_x_fusion 0.08402], [loss_x_j1 0.08949], [loss_x_j2 0.09323], [loss_x_j3 0.08913], [loss_x_j4 0.09050], [lr 0.0001992168294]
[iter 89], [train loss 0.44676], [loss_x_fusion 0.08408], [loss_x_j1 0.08948], [loss_x_j2 0.09354], [loss_x_j3 0.08919], [loss_x_j4 0.09048], [lr 0.0001992078255]
[iter 90], [train loss 0.44559], [loss_x_fusion 0.08386], [loss_x_j1 0.08921], [loss_x_j2 0.09332], [loss_x_j3 0.08893], [loss_x_j4 0.09027], [lr 0.0001991988215]
[iter 91], [train loss 0.44575], [loss_x_fusion 0.08391], [loss_x_j1 0.08911], [loss_x_j2 0.09352], [loss_x_j3 0.08900], [loss_x_j4 0.09022], [lr 0.0001991898174]
[iter 92], [train loss 0.44489], [loss_x_fusion 0.08375], [loss_x_j1 0.08888], [loss_x_j2 0.09341], [loss_x_j3 0.08880], [loss_x_j4 0.09005], [lr 0.0001991808134]
[iter 93], [train loss 0.44436], [loss_x_fusion 0.08367], [loss_x_j1 0.08887], [loss_x_j2 0.09318], [loss_x_j3 0.08861], [loss_x_j4 0.09002], [lr 0.0001991718092]
[iter 94], [train loss 0.44338], [loss_x_fusion 0.08350], [loss_x_j1 0.08872], [loss_x_j2 0.09290], [loss_x_j3 0.08840], [loss_x_j4 0.08986], [lr 0.0001991628051]
[iter 95], [train loss 0.44218], [loss_x_fusion 0.08329], [loss_x_j1 0.08859], [loss_x_j2 0.09251], [loss_x_j3 0.08815], [loss_x_j4 0.08964], [lr 0.0001991538008]
[iter 96], [train loss 0.44132], [loss_x_fusion 0.08314], [loss_x_j1 0.08838], [loss_x_j2 0.09238], [loss_x_j3 0.08793], [loss_x_j4 0.08948], [lr 0.0001991447966]
[iter 97], [train loss 0.44060], [loss_x_fusion 0.08303], [loss_x_j1 0.08824], [loss_x_j2 0.09217], [loss_x_j3 0.08780], [loss_x_j4 0.08936], [lr 0.0001991357923]
[iter 98], [train loss 0.43937], [loss_x_fusion 0.08280], [loss_x_j1 0.08801], [loss_x_j2 0.09186], [loss_x_j3 0.08753], [loss_x_j4 0.08917], [lr 0.0001991267879]
[iter 99], [train loss 0.43856], [loss_x_fusion 0.08264], [loss_x_j1 0.08786], [loss_x_j2 0.09168], [loss_x_j3 0.08738], [loss_x_j4 0.08900], [lr 0.0001991177835]
[iter 100], [train loss 0.43792], [loss_x_fusion 0.08251], [loss_x_j1 0.08766], [loss_x_j2 0.09169], [loss_x_j3 0.08731], [loss_x_j4 0.08876], [lr 0.0001991087791]
[iter 101], [train loss 0.43669], [loss_x_fusion 0.08229], [loss_x_j1 0.08740], [loss_x_j2 0.09143], [loss_x_j3 0.08706], [loss_x_j4 0.08851], [lr 0.0001990997746]
[iter 102], [train loss 0.43688], [loss_x_fusion 0.08233], [loss_x_j1 0.08739], [loss_x_j2 0.09157], [loss_x_j3 0.08712], [loss_x_j4 0.08847], [lr 0.0001990907701]
[iter 103], [train loss 0.43640], [loss_x_fusion 0.08226], [loss_x_j1 0.08731], [loss_x_j2 0.09148], [loss_x_j3 0.08701], [loss_x_j4 0.08833], [lr 0.0001990817655]
[iter 104], [train loss 0.43565], [loss_x_fusion 0.08213], [loss_x_j1 0.08712], [loss_x_j2 0.09139], [loss_x_j3 0.08684], [loss_x_j4 0.08816], [lr 0.0001990727608]
[iter 105], [train loss 0.43503], [loss_x_fusion 0.08203], [loss_x_j1 0.08699], [loss_x_j2 0.09125], [loss_x_j3 0.08671], [loss_x_j4 0.08805], [lr 0.0001990637562]
[iter 106], [train loss 0.43448], [loss_x_fusion 0.08193], [loss_x_j1 0.08693], [loss_x_j2 0.09111], [loss_x_j3 0.08654], [loss_x_j4 0.08797], [lr 0.0001990547515]
[iter 107], [train loss 0.43329], [loss_x_fusion 0.08170], [loss_x_j1 0.08664], [loss_x_j2 0.09097], [loss_x_j3 0.08631], [loss_x_j4 0.08767], [lr 0.0001990457467]
[iter 108], [train loss 0.43259], [loss_x_fusion 0.08157], [loss_x_j1 0.08642], [loss_x_j2 0.09094], [loss_x_j3 0.08620], [loss_x_j4 0.08746], [lr 0.0001990367419]
[iter 109], [train loss 0.43203], [loss_x_fusion 0.08148], [loss_x_j1 0.08631], [loss_x_j2 0.09075], [loss_x_j3 0.08614], [loss_x_j4 0.08736], [lr 0.0001990277370]
[iter 110], [train loss 0.43189], [loss_x_fusion 0.08147], [loss_x_j1 0.08621], [loss_x_j2 0.09073], [loss_x_j3 0.08616], [loss_x_j4 0.08731], [lr 0.0001990187321]
[iter 111], [train loss 0.43148], [loss_x_fusion 0.08141], [loss_x_j1 0.08610], [loss_x_j2 0.09064], [loss_x_j3 0.08614], [loss_x_j4 0.08719], [lr 0.0001990097272]
[iter 112], [train loss 0.43223], [loss_x_fusion 0.08156], [loss_x_j1 0.08620], [loss_x_j2 0.09088], [loss_x_j3 0.08628], [loss_x_j4 0.08731], [lr 0.0001990007222]
[iter 113], [train loss 0.43195], [loss_x_fusion 0.08147], [loss_x_j1 0.08606], [loss_x_j2 0.09105], [loss_x_j3 0.08621], [loss_x_j4 0.08715], [lr 0.0001989917172]
[iter 114], [train loss 0.43146], [loss_x_fusion 0.08136], [loss_x_j1 0.08595], [loss_x_j2 0.09101], [loss_x_j3 0.08608], [loss_x_j4 0.08706], [lr 0.0001989827121]
[iter 115], [train loss 0.43103], [loss_x_fusion 0.08129], [loss_x_j1 0.08582], [loss_x_j2 0.09093], [loss_x_j3 0.08602], [loss_x_j4 0.08697], [lr 0.0001989737070]
[iter 116], [train loss 0.43051], [loss_x_fusion 0.08117], [loss_x_j1 0.08564], [loss_x_j2 0.09095], [loss_x_j3 0.08594], [loss_x_j4 0.08681], [lr 0.0001989647018]
[iter 117], [train loss 0.43053], [loss_x_fusion 0.08118], [loss_x_j1 0.08562], [loss_x_j2 0.09099], [loss_x_j3 0.08598], [loss_x_j4 0.08676], [lr 0.0001989556966]
[iter 118], [train loss 0.42946], [loss_x_fusion 0.08098], [loss_x_j1 0.08542], [loss_x_j2 0.09072], [loss_x_j3 0.08578], [loss_x_j4 0.08656], [lr 0.0001989466913]
[iter 119], [train loss 0.42825], [loss_x_fusion 0.08076], [loss_x_j1 0.08519], [loss_x_j2 0.09046], [loss_x_j3 0.08551], [loss_x_j4 0.08633], [lr 0.0001989376860]
[iter 120], [train loss 0.42711], [loss_x_fusion 0.08055], [loss_x_j1 0.08496], [loss_x_j2 0.09022], [loss_x_j3 0.08526], [loss_x_j4 0.08612], [lr 0.0001989286807]
[iter 121], [train loss 0.42614], [loss_x_fusion 0.08037], [loss_x_j1 0.08477], [loss_x_j2 0.09002], [loss_x_j3 0.08505], [loss_x_j4 0.08593], [lr 0.0001989196753]
[iter 122], [train loss 0.42521], [loss_x_fusion 0.08020], [loss_x_j1 0.08459], [loss_x_j2 0.08984], [loss_x_j3 0.08485], [loss_x_j4 0.08572], [lr 0.0001989106698]
[iter 123], [train loss 0.42527], [loss_x_fusion 0.08022], [loss_x_j1 0.08463], [loss_x_j2 0.08987], [loss_x_j3 0.08484], [loss_x_j4 0.08571], [lr 0.0001989016644]
[iter 124], [train loss 0.42443], [loss_x_fusion 0.08007], [loss_x_j1 0.08446], [loss_x_j2 0.08969], [loss_x_j3 0.08466], [loss_x_j4 0.08554], [lr 0.0001988926588]
[iter 125], [train loss 0.42414], [loss_x_fusion 0.08004], [loss_x_j1 0.08438], [loss_x_j2 0.08963], [loss_x_j3 0.08459], [loss_x_j4 0.08550], [lr 0.0001988836533]
[iter 126], [train loss 0.42355], [loss_x_fusion 0.07993], [loss_x_j1 0.08427], [loss_x_j2 0.08951], [loss_x_j3 0.08445], [loss_x_j4 0.08539], [lr 0.0001988746476]
[iter 127], [train loss 0.42346], [loss_x_fusion 0.07993], [loss_x_j1 0.08425], [loss_x_j2 0.08950], [loss_x_j3 0.08442], [loss_x_j4 0.08535], [lr 0.0001988656420]
[iter 128], [train loss 0.42279], [loss_x_fusion 0.07981], [loss_x_j1 0.08412], [loss_x_j2 0.08936], [loss_x_j3 0.08426], [loss_x_j4 0.08524], [lr 0.0001988566362]
[iter 129], [train loss 0.42250], [loss_x_fusion 0.07977], [loss_x_j1 0.08408], [loss_x_j2 0.08926], [loss_x_j3 0.08419], [loss_x_j4 0.08520], [lr 0.0001988476305]
[iter 130], [train loss 0.42175], [loss_x_fusion 0.07963], [loss_x_j1 0.08394], [loss_x_j2 0.08910], [loss_x_j3 0.08402], [loss_x_j4 0.08505], [lr 0.0001988386247]
[iter 131], [train loss 0.42138], [loss_x_fusion 0.07957], [loss_x_j1 0.08385], [loss_x_j2 0.08907], [loss_x_j3 0.08393], [loss_x_j4 0.08497], [lr 0.0001988296188]
[iter 132], [train loss 0.42070], [loss_x_fusion 0.07945], [loss_x_j1 0.08372], [loss_x_j2 0.08891], [loss_x_j3 0.08377], [loss_x_j4 0.08484], [lr 0.0001988206129]
[iter 133], [train loss 0.41996], [loss_x_fusion 0.07932], [loss_x_j1 0.08356], [loss_x_j2 0.08877], [loss_x_j3 0.08361], [loss_x_j4 0.08469], [lr 0.0001988116070]
[iter 134], [train loss 0.41998], [loss_x_fusion 0.07934], [loss_x_j1 0.08359], [loss_x_j2 0.08873], [loss_x_j3 0.08358], [loss_x_j4 0.08473], [lr 0.0001988026010]
[iter 135], [train loss 0.41902], [loss_x_fusion 0.07917], [loss_x_j1 0.08340], [loss_x_j2 0.08850], [loss_x_j3 0.08340], [loss_x_j4 0.08456], [lr 0.0001987935950]
[iter 136], [train loss 0.41887], [loss_x_fusion 0.07914], [loss_x_j1 0.08337], [loss_x_j2 0.08842], [loss_x_j3 0.08337], [loss_x_j4 0.08457], [lr 0.0001987845889]
